,ID,Is desens,IC ISI Decile 0,IC ISI Decile 1,IC ISI Decile 2,IC ISI Decile 3,IC ISI Decile 4,IC ISI Decile 5,IC ISI Decile 6,IC ISI Decile 7,IC ISI Decile 8,IC ISI Decile 9,IC ISI Decile 10,IC Phase Decile 0,IC Phase Decile 1,IC Phase Decile 2,IC Phase Decile 3,IC Phase Decile 4,IC Phase Decile 5,IC Phase Decile 6,IC Phase Decile 7,IC Phase Decile 8,IC Phase Decile 9,IC Phase Decile 10,IC Additional feature 0,IC Additional feature 1,IC Additional feature 2,IC Additional feature 3,PD ISI Decile 0,PD ISI Decile 1,PD ISI Decile 2,PD ISI Decile 3,PD ISI Decile 4,PD ISI Decile 5,PD ISI Decile 6,PD ISI Decile 7,PD ISI Decile 8,PD ISI Decile 9,PD ISI Decile 10,PD Phase Decile 0,PD Phase Decile 1,PD Phase Decile 2,PD Phase Decile 3,PD Phase Decile 4,PD Phase Decile 5,PD Phase Decile 6,PD Phase Decile 7,PD Phase Decile 8,PD Phase Decile 9,PD Phase Decile 10,PD Additional feature 0,PD Additional feature 1,PD Additional feature 2,PD Additional feature 3,AM ISI Decile 0,AM ISI Decile 1,AM ISI Decile 2,AM ISI Decile 3,AM ISI Decile 4,AM ISI Decile 5,AM ISI Decile 6,AM ISI Decile 7,AM ISI Decile 8,AM ISI Decile 9,AM ISI Decile 10,AM Phase Decile 0,AM Phase Decile 1,AM Phase Decile 2,AM Phase Decile 3,AM Phase Decile 4,AM Phase Decile 5,AM Phase Decile 6,AM Phase Decile 7,AM Phase Decile 8,AM Phase Decile 9,AM Phase Decile 10,AM Additional feature 0,AM Additional feature 1,AM Additional feature 2,AM Additional feature 3,LG ISI Decile 0,LG ISI Decile 1,LG ISI Decile 2,LG ISI Decile 3,LG ISI Decile 4,LG ISI Decile 5,LG ISI Decile 6,LG ISI Decile 7,LG ISI Decile 8,LG ISI Decile 9,LG ISI Decile 10,LG Phase Decile 0,LG Phase Decile 1,LG Phase Decile 2,LG Phase Decile 3,LG Phase Decile 4,LG Phase Decile 5,LG Phase Decile 6,LG Phase Decile 7,LG Phase Decile 8,LG Phase Decile 9,LG Phase Decile 10,LG Additional feature 0,LG Additional feature 1,LG Additional feature 2,LG Additional feature 3,DG ISI Decile 0,DG ISI Decile 1,DG ISI Decile 2,DG ISI Decile 3,DG ISI Decile 4,DG ISI Decile 5,DG ISI Decile 6,DG ISI Decile 7,DG ISI Decile 8,DG ISI Decile 9,DG ISI Decile 10,DG Phase Decile 0,DG Phase Decile 1,DG Phase Decile 2,DG Phase Decile 3,DG Phase Decile 4,DG Phase Decile 5,DG Phase Decile 6,DG Phase Decile 7,DG Phase Decile 8,DG Phase Decile 9,DG Phase Decile 10,DG Additional feature 0,DG Additional feature 1,DG Additional feature 2,DG Additional feature 3,# Long IC Bursts
44,"4-4-23 Unfed Hemo +
 gsif 10^-6M segment 0",False,0.03078,0.04293,0.050868,0.05778,0.06399,0.0702,0.07803,0.086103,0.1074599999999463,1.122551999999996,4.169339999999693,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,16.242972276585164,0.981025774,1.0347091932456642,34.103225806582564,0.01026,0.01404,0.01755,0.02349,0.02673,0.033615,0.049518,0.073764,0.1887300000002144,1.3479210000001336,2.746980000000349,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,39.69194606,0.914881069,1.539183055975854,50.0,0.07695,0.097173,0.1071899999999459,0.1168290000000297,0.1293299999999817,0.1432350000000042,0.1668600000000424,0.2104110000001128,0.2911680000000161,0.5461019999999741,1.6189199999998891,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,7.871281832045207,0.7474983322213363,1.002843284830244,0.7314410480362794,0.2160000000001218,0.3817799999999351,0.4862700000001041,0.77139,1.070549999999912,1.3564799999999195,1.4469300000000658,1.5276600000001963,1.6432200000001558,1.80954,6.463259999999991,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,4.629629629627018,0.7156821789622814,1.058688249082287,3.469569288389465,0.04104,0.05427,0.05751,0.06129,0.06669,0.07155,0.07776,0.09099,0.1085399999999481,0.1428030000000035,15.040349999999536,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,13.64993932653671,0.9680100529575368,1.018261251051041,50.0,1
45,"4-4-23 Unfed Hemo +
 gsif 10^-6M segment 1",False,0.03402,0.03888,0.04401,0.04914,0.05562,0.06318,0.07209,0.08397,0.1047599999997146,1.0249199999998382,8.018460000000005,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0,19.200000000000045,97,17.62132235621427,0.9927941275506368,1.2317199618431731,22.24431818188873,0.01026,0.01647,0.02403,0.02565,0.0297,0.04995,0.07344,0.1277100000002065,1.0465199999999644,1.287089999999807,3.303179999999884,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,14.200000000000044,50.0,99,33.937950453621326,0.991989537,1.1301616628175313,29.466666666618544,0.0729,0.08802,0.09423,0.1001700000001619,0.1096199999999498,0.1233899999999721,0.1466099999997823,0.1846800000000712,0.2235600000000431,0.2959200000000237,2.716470000000072,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0,33.0,99,8.526984205627185,0.9471225524301756,1.912737642585572,12.871313672930992,0.21546,0.3271050000000514,0.4190400000002228,0.487512,0.5910300000000461,0.8113499999999476,1.0030500000002576,1.250100000000043,1.48662,1.7565119999999097,6.622020000000248,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.000000000000057,23.40000000000001,81,4.2969771753442325,0.9285248307918372,1.0873381805285314,3.0923441199678874,0.04563,0.04914,0.0513,0.054621,0.05805,0.064665,0.07128,0.080109,0.09396,0.121203,18.97748999999999,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0,99,15.141339778018969,0.9864413049354568,1.2150710507208775,50.0,3
46,"4-4-23 Unfed Hemo +
 gsif 10^-6M segment 2",False,0.03267,0.03672,0.0405,0.04536,0.050922,0.05859,0.066528,0.07803,0.099144,0.9665999999999711,7.992809999999963,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,3.0,38.0,58.0,97,18.797182332293623,0.993277708,1.0031854688399915,1.7977988226257506,0.01026,0.018387,0.02484,0.02592,0.02997,0.0567,0.08424,0.1336499999999887,1.0789200000001529,1.288737000000037,3.3288300000001527,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,28.0,56.0,79.40000000000003,99,32.68757851877515,0.9601751966906666,1.0333584779146572,0.5330523513751954,0.07668,0.08937,0.09396,0.1025999999999385,0.1104299999999511,0.1260899999999765,0.14931,0.17712,0.2273400000001402,0.3199500000000626,2.935169999999971,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,14.0,47.0,70.0,99,8.514970914973476,0.9508784840401042,1.057387413675638,11.112149532691916,0.2297699999999167,0.3049110000000383,0.4071059999999761,0.4671000000000503,0.5629500000000007,0.81405,0.97227,1.3253489999998913,1.5738300000000438,3.217103999999905,9.107639999999948,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12.599999999999994,34.60000000000001,58.10000000000001,96,4.1715443234491625,0.8815368196371473,1.031212741891106,3.154021244311133,0.04374,0.04779,0.04968,0.05211,0.056052,0.06021,0.066528,0.07614,0.083484,0.1085939999999482,21.970440000000053,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0,82.0,89.0,99,15.996121505416369,0.9806075800029492,1.0226595784790609,50.0,4
47,"4-4-23 Unfed Hemo +
 gsif 10^-6M segment 3",False,0.03024,0.0351,0.03834,0.04131,0.0459,0.05292,0.061398,0.07506,0.09936,0.7562699999998586,10.164960000000065,-100,-100.0,-100.0,-100.0,-100.0,1.0,4.0,10.0,54.0,84.0,98,20.063151336830828,0.9903580535486456,1.1611868484362469,15.017241379358826,0.01053,0.01674,0.02511,0.02619,0.04779,0.076005,0.1231199999999717,0.2532600000001821,1.08162,1.2150000000001455,2.908979999999701,-100,-100.0,-100.0,-100.0,-100.0,14.0,30.80000000000001,47.599999999999966,64.40000000000003,82.0,99,32.970024313183494,0.959717839,1.0202651515150245,9.579908675783706,0.07263,0.08694,0.09261,0.09909,0.1066499999997176,0.1169099999998479,0.1454760000000532,0.18333,0.2400299999999333,0.3834000000001651,2.940300000000206,-100,-100.0,-100.0,-100.0,-100.0,2.0,25.0,45.0,62.0,84.0,99,8.856753633174693,0.9588613406796136,1.0765124555159624,4.525164113794864,0.19224,0.2691359999999804,0.3108240000000478,0.362259,0.4097520000002078,0.5976450000000568,0.8169659999999568,1.022840999999994,1.2387060000000942,4.157244000000262,12.016620000000104,-100,-100.0,-100.0,-100.0,-100.0,1.0,32.0,41.0,52.0,70.0,99,4.330131884343994,0.8861501819979389,1.123236504050685,2.959227985524662,0.04077,0.04617,0.04806,0.05022,0.05238,0.05643,0.06237,0.06966,0.08505,0.1192050000001927,22.83200999999985,-100,-100.0,-100.0,-100.0,-100.0,7.0,13.800000000000011,20.0,28.0,79.0,95,16.67889691,0.9831013563851728,1.2126509306794329,50.0,7
48,"4-17-23 Saline 0 +
 gsif 10^-6M segment 0",False,0.07744,0.1008699999999862,0.11374,0.1262799999997241,0.1504800000000159,0.2141699999999673,0.8370999999997366,0.968,1.035099999999602,1.105939999999805,4.3592999999993935,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,8.236405319901591,0.969265708,1.184399282725506,6.830508474568012,0.01012,0.0121,0.01364,0.01518,0.01716,0.02046,0.02354,0.02552,0.02728,0.03674,1.056,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,56.15892619263287,0.9743750000001032,1.0069225928257604,44.769230768966786,0.01144,0.091432,0.10516,0.1158740000000989,0.1272919999999431,0.14014,0.1638560000002598,0.1991659999999455,0.2969119999999293,0.4552679999999328,1.3620200000000295,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,10.198618391353216,0.9172993054433464,1.0250000000000214,1.7846481876306028,0.82148,1.0345059999999648,1.1271039999999175,1.203642000000218,1.4702599999998256,3.3173799999999574,4.593820000000051,6.468022000000155,7.402735999999959,12.375924000000056,20.809139999999843,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,0.0,0.7178364891581386,1.274362394406035,0.6119909842223799,0.04906,0.05522,0.05786,0.06072,0.0638,0.06743,0.07216,0.0792,0.092664,0.1197239999999965,18.615079999999807,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,14.138551914268906,0.993145342,1.050035988185925,50.0,0
49,"4-17-23 Saline 0 +
 gsif 10^-6M segment 1",False,0.06644,0.08668,0.09834,0.1086800000000494,0.1249599999998736,0.1445400000000063,0.6901399999997011,0.8187299999999595,0.9338999999999942,1.0218999999999596,4.295499999999947,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,9.354574321073652,0.9547759282970048,1.0177221787855328,2.687992722860509,0.01012,0.01188,0.01342,0.01496,0.01694,0.02024,0.0231,0.02464,0.0264,0.03718,0.9110200000000076,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,57.34460693754322,0.9869596715768928,1.0038787878787665,50.0,0.011,0.09174,0.09856,0.1053799999998545,0.1119800000001305,0.1207800000001952,0.1405799999999999,0.1715999999996711,0.22396,0.3256000000001222,1.32616,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,9.444851291913228,0.654280027,1.0044992501255046,0.9695652173946322,0.1159399999999095,0.6058800000000701,0.8925399999998263,0.9646999999999936,1.0298200000001998,1.0727200000002313,1.182280000000219,3.0087200000002667,5.46348,6.539390000000026,11.62722000000008,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,8.625150940148181,0.8233524436623675,1.105183915016422,6.484503478812087,0.04334,0.04994,0.0517,0.05346,0.05588,0.05962,0.06424,0.07194,0.0814,0.1045000000001437,20.11943999999994,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,15.842925637339404,0.9935375934916648,1.0451776591732516,50.0,0
50,"4-17-23 Saline 0 +
 gsif 10^-6M segment 2",False,0.05544,0.08602,0.0957,0.1073600000001988,0.1216599999997924,0.1396999999997206,0.6923399999996036,0.7977200000000266,0.94336,1.0104600000001938,4.247100000000273,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,9.511413001150355,0.9720279720280356,1.0032219508391875,13.782222222293196,0.01012,0.01188,0.01408,0.01584,0.01826,0.02156,0.023936,0.02508,0.02728,0.033,0.9191599999999198,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,55.41269108678903,0.9861177596935546,1.0113773904621526,50.0,0.01166,0.08844,0.09922,0.1058199999999942,0.1139599999999063,0.1241899999999986,0.1397000000001753,0.1720399999999244,0.2222000000001571,0.30888,1.8556999999998425,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,9.820152767746816,0.8308239478363804,1.3260493633073624,2.76533333333183,0.2800599999998212,0.8971599999999853,1.0168400000002291,1.057760000000144,1.112275999999929,1.1529099999999062,2.955964,4.211019999999962,6.333140000000185,7.573719999999867,10.555160000000114,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,0.0,0.8852182250197577,1.0040809492915812,0.9705099778268037,0.04576,0.04928,0.05126,0.05324,0.05588,0.05918,0.06336,0.06974,0.08096,0.1012000000002899,21.481019999999944,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,16.01954677701193,0.992042277,1.0733554656582496,50.0,0
51,"4-17-23 Saline 0 +
 gsif 10^-6M segment 3",False,0.05984,0.08239,0.08976,0.09812,0.1110999999996238,0.1314499999998588,0.2114200000003165,0.7891400000000885,0.9587599999999838,1.010020000000054,4.255460000000085,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,9.942339172023829,0.9686191387066604,1.0056670479359318,18.36007827789989,0.01012,0.0121,0.01386,0.01562,0.01782,0.0198,0.02266,0.02442,0.0264,0.03234,0.9246600000001308,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,56.33577633236402,0.9633595051144654,1.0127710843374806,34.93069306956326,0.01188,0.092686,0.1003200000000106,0.1062380000000303,0.11462,0.1258400000001529,0.1430000000000291,0.1696199999998953,0.2272599999998874,0.3240379999997913,2.11134,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,9.263024853622642,0.9217463790766331,1.0027165395463833,11.365957446812647,0.2939199999996162,0.6377800000000207,0.9475400000001172,1.036200000000008,1.0795399999999518,1.186239999999998,2.107599999999593,4.8488,7.526200000000017,10.648660000000064,14.282840000000078,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,0.0,0.9378793013154272,1.0006627722375492,0.14964185869544908,0.04598,0.0495,0.05126,0.05302,0.05588,0.05962,0.064196,0.071082,0.08096,0.1003200000000106,22.19272000000001,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,16.013059344635753,0.988213252,1.0157074388819536,50.0,0
52,"4-17-23 Saline 1 +
 gsif 10^-6M segment 0",False,0.07898,0.1007820000000265,0.1117600000000038,0.1243000000000165,0.1399200000000746,0.1547699999998713,0.23914,0.8786359999998693,1.0692000000001372,1.2038399999999454,4.566100000000006,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,8.056381266,0.7986027463261985,1.1454194260485002,4.8970380818058405,0.01012,0.0132,0.0154,0.0176,0.0198,0.02376,0.02794,0.03102,0.03542,0.06336,1.2742399999999634,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,48.59173498326528,0.9739295580110268,1.0197183098590437,10.029498525081598,0.06864,0.1166000000000622,0.1262799999997241,0.1368179999999028,0.151448,0.1678600000000187,0.192852,0.2319020000002183,0.3062400000003435,0.4245120000000044,2.445519999999988,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,6.842119806067261,0.934418856,1.6950289722477367,9.82327586201497,0.2356200000001536,0.3921940000000859,0.6114680000000136,0.9219319999999924,1.0736000000001695,1.1541199999999208,1.3144999999999527,1.4388,3.179352000000028,7.133610000000006,19.11404000000016,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,4.244121891177948,0.9688427982781233,1.4813387666024669,5.557283464566952,0.0484,0.0583,0.06336,0.06754,0.07172,0.07678,0.08206,0.089474,0.1016399999998611,0.1312739999996893,26.42816000000039,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,12.836222834932665,0.9872469366009634,1.297138538,50.0,0
53,"4-17-23 Saline 1 +
 gsif 10^-6M segment 1",False,0.07084,0.08976,0.1038400000002184,0.1130800000003091,0.1298000000001593,0.1488299999999753,0.1902999999997519,0.8129,0.8841800000002422,1.0261899999999289,4.6167,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,8.732156959451338,0.9513462,1.0020054433461465,18.052565707130544,0.01012,0.01188,0.01364,0.0154,0.01738,0.02068,0.02508,0.02706,0.0297,0.056914,0.9655800000002728,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,54.68789734960796,0.9551150603778182,1.0078071182551025,30.610619469039985,0.03278,0.099,0.1053799999997409,0.1115400000000818,0.1177000000000134,0.1278199999997014,0.1411959999999453,0.1696419999999079,0.2202200000001539,0.2899599999999281,2.3071399999998903,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,8.029654171853862,0.9470773338419756,1.0156900726393534,7.809224318675751,0.3097600000000966,0.5218399999999974,0.8747199999997974,0.9999000000000252,1.0573199999998906,1.1052799999999934,1.1589600000002065,1.2088999999998578,1.3274799999999232,3.616139999999973,9.091279999999417,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,0.0,0.8725196012002401,1.1618961929932154,0.9727994593671542,0.04752,0.0517,0.05346,0.05544,0.05808,0.06182,0.066748,0.07282,0.082764,0.1060399999996661,24.19604000000004,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,15.465471693960852,0.9873070138750002,1.0892650219374298,50.0,0
54,"4-17-23 Saline 1 +
 gsif 10^-6M segment 2",False,0.06864,0.084392,0.09306,0.1027179999998452,0.1187120000000505,0.1403600000001006,0.2125199999999037,0.8488699999999192,0.97482,1.0371239999999031,4.559499999999844,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,9.575253688,0.9761640530760334,1.0132492422019626,28.627840909082266,0.01012,0.01188,0.01342,0.01474,0.01606,0.01804,0.02046,0.0253,0.02706,0.03388,0.9783400000001166,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,58.41064835113831,0.9615471104114558,1.0143704379564653,0.8847539015602841,0.0517,0.1003200000000106,0.1062600000000202,0.1117600000000038,0.1192399999999906,0.1326600000002145,0.1524600000000191,0.1812800000000152,0.2270399999999881,0.2926000000001068,3.2381800000000567,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,7.844240248,0.9574699368163776,1.3918676122932303,8.10958904110243,0.2833600000001297,0.9763599999996586,1.0791880000001128,1.1035200000003442,1.1620399999997062,1.2355199999998376,2.301200000000108,5.584920000000011,6.879487999999992,8.0927,16.77390000000014,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,0.0,0.9338579578988851,1.1489255899460344,0.29864386215536154,0.0451,0.0506,0.05236,0.05412,0.05742,0.06182,0.06622,0.0748,0.08646,0.1123099999999794,23.24167999999986,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,15.43855653755582,0.9882624663965592,1.0629131410288517,50.0,0
55,"4-17-23 Saline 1 +
 gsif 10^-6M segment 3",False,0.0627,0.083842,0.08976,0.097306,0.11374,0.1409099999999625,0.7556999999999334,0.9260020000000848,1.025859999999966,1.057650000000035,4.644639999999981,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,9.939269864,0.9783535430087348,1.011935004553502,2.0253245371356265,0.01012,0.0121,0.01342,0.01452,0.01562,0.0176,0.0198,0.02332,0.02662,0.03146,0.9737199999999576,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,59.660053121392494,0.9866696791685792,1.0063665302409242,31.760683760634684,0.01826,0.10384,0.1093399999999746,0.1167100000000118,0.1251800000000003,0.1366199999999935,0.1592800000000807,0.1947000000000116,0.2501399999998739,0.3049200000000382,2.523619999999937,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,7.721494523951427,0.9286025629848914,1.1495139793566798,6.631935047353922,0.8364400000000387,1.0852599999998347,1.1222200000000158,1.1437799999998788,1.1770000000001346,1.7537300000000189,5.558299999999917,7.032079999999951,14.482159999999975,26.68160000000012,30.60001999999986,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,0.0,0.9629882594847972,1.085935792136404,6.077943925233118,0.0451,0.05126,0.05302,0.05544,0.05874,0.06292,0.06754,0.07524,0.08646,0.1084599999999227,26.05107999999996,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,15.210755865391022,0.9933031567213354,1.1187808242474646,50.0,0
56,"4-17-23 Unfed Hemo +
 gsif 10^-6M segment 0",False,0.03718,0.0473,0.05324,0.059026,0.06908,0.0825,0.1003200000000106,0.1263680000001386,0.2241800000003877,1.0035079999997152,6.775559999999814,-100,-100.0,0.0,2.0,4.0,8.0,41.0,57.0,66.0,90.39999999999998,98,14.463362983101678,0.8730437041366509,1.416912035333146,0.294239885706893,0.01012,0.01078,0.0121,0.01364,0.0176,0.02112,0.02222,0.02332,0.02464,0.0297,2.597540000000208,-100,-100.0,0.0,14.0,24.0,34.0,45.0,59.0,73.0,85.0,99,59.889932072644186,0.9863640213432986,1.0943553619428317,50.0,0.01056,0.03938,0.06556,0.1029599999999391,0.1236399999997956,0.15268,0.1900799999998526,0.2422199999998611,0.2983199999996486,0.3880799999999453,1.0887799999998151,-100,-100.0,2.0,12.0,26.0,39.0,51.0,63.0,74.0,90.0,99,14.832445321279131,0.8377449989895907,1.0427728613565073,0.18011660018381753,0.1526800000001458,0.2306259999999156,0.5394399999998769,1.039984000000049,1.202080000000251,2.39822,7.201260000000275,7.741667999999822,8.957431999999836,10.340792000000125,17.45788000000016,-100,-100.0,1.0,6.199999999999996,21.400000000000013,30.0,54.39999999999999,64.3,93.4,96.1,99,5.271188708311209,0.9268719913299908,1.150691685275975,1.6494615077782901,0.0418,0.04598,0.0484,0.0517,0.055264,0.06028,0.06688,0.074382,0.08822,0.1233539999999266,10.660319999999729,-100,-100.0,0.0,4.099999999999966,10.0,22.5,61.0,76.0,83.0,90.0,99,16.109134785249367,0.979135711,1.0609796150729898,50.0,7
57,"4-17-23 Unfed Hemo +
 gsif 10^-6M segment 1",False,0.03784,0.04642,0.05214,0.05731,0.0649,0.07436,0.08382,0.1063700000000835,0.18722,0.9708600000001296,6.732659999999896,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.1000000000000227,31.19999999999993,63.0,97,15.316736736814669,0.8433813678397087,1.498384253819118,26.716535433054332,0.01012,0.01144,0.01364,0.01782,0.02068,0.02134,0.02178,0.02266,0.02508,0.03982,2.53132,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7.0,44.0,72.0,99,55.15369313712664,0.9840083434730148,1.1744411554556384,50.0,0.01078,0.0319,0.05412,0.07436,0.09702,0.1115400000002182,0.1273799999996754,0.1645599999999376,0.2292399999994359,0.3416600000002745,0.9684400000001006,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,41.0,69.0,99,16.29988655383886,0.9720581553840306,1.1984753607405618,1.9440000000008157,0.1795200000001386,0.3384479999999485,0.4790280000000166,1.150226000000066,1.2954919999999222,1.414270000000215,1.6133920000001123,2.437379999999803,7.380076000000145,13.635490000000027,16.96772,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0,11.0,62.0,95,5.178137925607404,0.9755983714960004,1.0419194034286747,9.136003726133717,0.04136,0.04532,0.04708,0.04884,0.0517,0.05632,0.0627,0.07348,0.08734,0.1215499999999565,10.520620000000008,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,52.0,80.0,99,16.720863651987013,0.9441458773342242,1.2004468320112025,27.312605041993308,4
58,"4-17-23 Unfed Hemo +
 gsif 10^-6M segment 2",False,0.04114,0.0539,0.0583,0.06314,0.06776,0.07348,0.081576,0.09702,0.1454200000000582,0.8857199999999921,4.211899999999787,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,99,14.448101282370182,0.9621833376860588,1.3504267475487497,1.0147058823527548,0.01012,0.01188,0.01628,0.0198,0.0209,0.02156,0.02222,0.0231,0.02574,0.03454,1.8664799999999104,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,99,52.86383299676653,0.979726544,1.4211055276381213,36.639999999733355,0.01012,0.02838,0.045716,0.06248,0.081752,0.1003200000000106,0.1165999999998348,0.1456400000001849,0.1952280000000429,0.2965599999999995,0.8201599999999871,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,99,17.695424987011265,0.9313304721028306,1.0002683123154124,0.10485056344939848,0.2006400000000212,0.3504599999999982,1.1631399999998848,1.2676400000000283,1.3562999999999192,1.539449999999988,2.458719999999857,3.746159999999918,5.20938,8.810780000000136,14.30747999999994,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,99,4.428949833303175,0.9784727988436822,1.141207644,0.19518486672398477,0.03916,0.04378,0.04576,0.04818,0.0506,0.0561,0.06028,0.0693,0.08382,0.1319999999998344,7.157040000000052,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,99,17.30362651826304,0.9510328292142968,1.0048804596280974,5.635742187497349,1
